step,agent_id,total_reward,epsilon,is_busy
0,Transporter-1,0,1.0,0
0,Transporter-2,0,1.0,0
1,Transporter-1,0,1.0,0
1,Transporter-2,0,1.0,0
2,Transporter-1,0,1.0,0
2,Transporter-2,0,1.0,0
3,Transporter-1,0,1.0,0
3,Transporter-2,0,1.0,0
4,Transporter-1,0,1.0,0
4,Transporter-2,0,1.0,0
5,Transporter-1,0,1.0,0
5,Transporter-2,0,1.0,0
6,Transporter-1,0,1.0,0
6,Transporter-2,0,1.0,0
7,Transporter-1,0,1.0,0
7,Transporter-2,0,1.0,0
8,Transporter-1,0,1.0,0
8,Transporter-2,0,1.0,0
9,Transporter-1,0,1.0,0
9,Transporter-2,0,1.0,0
10,Transporter-1,0,1.0,0
10,Transporter-2,0,1.0,0
11,Transporter-1,0,1.0,0
11,Transporter-2,0,1.0,0
12,Transporter-1,0,1.0,0
12,Transporter-2,0,1.0,0
13,Transporter-1,0,1.0,0
13,Transporter-2,0,1.0,0
14,Transporter-1,0,1.0,0
14,Transporter-2,0,1.0,0
15,Transporter-1,0,1.0,0
15,Transporter-2,0,1.0,0
16,Transporter-1,0,1.0,0
16,Transporter-2,0,1.0,0
17,Transporter-1,0,1.0,0
17,Transporter-2,0,1.0,0
18,Transporter-1,0,1.0,0
18,Transporter-2,0,1.0,0
19,Transporter-1,0,1.0,0
19,Transporter-2,0,1.0,0
20,Transporter-1,0,1.0,0
20,Transporter-2,0,1.0,0
21,Transporter-1,0,1.0,0
21,Transporter-2,0,1.0,0
22,Transporter-1,0,1.0,0
22,Transporter-2,0,1.0,0
23,Transporter-1,0,1.0,0
23,Transporter-2,0,1.0,0
24,Transporter-1,0,1.0,0
24,Transporter-2,0,1.0,0
25,Transporter-1,0,1.0,0
25,Transporter-2,0,1.0,0
26,Transporter-1,0,1.0,0
26,Transporter-2,0,1.0,0
27,Transporter-1,0,1.0,0
27,Transporter-2,0,1.0,0
28,Transporter-1,0,1.0,0
28,Transporter-2,0,1.0,0
29,Transporter-1,0,1.0,0
29,Transporter-2,0,1.0,0
30,Transporter-1,0,1.0,0
30,Transporter-2,0,1.0,0
31,Transporter-1,0,1.0,0
31,Transporter-2,0,1.0,0
32,Transporter-1,0,1.0,0
32,Transporter-2,0,1.0,0
33,Transporter-1,0,1.0,0
33,Transporter-2,0,1.0,0
34,Transporter-1,0,1.0,0
34,Transporter-2,0,1.0,0
35,Transporter-1,0,1.0,0
35,Transporter-2,0,1.0,0
36,Transporter-1,0,1.0,0
36,Transporter-2,0,1.0,0
37,Transporter-1,0,1.0,0
37,Transporter-2,0,1.0,0
38,Transporter-1,0,1.0,0
38,Transporter-2,0,1.0,0
39,Transporter-1,0,1.0,0
39,Transporter-2,0,1.0,0
40,Transporter-1,0,1.0,0
40,Transporter-2,0,1.0,0
41,Transporter-1,0,1.0,0
41,Transporter-2,0,1.0,0
42,Transporter-1,0,1.0,0
42,Transporter-2,0,1.0,0
43,Transporter-1,0,1.0,0
43,Transporter-2,0,1.0,0
44,Transporter-1,0,1.0,0
44,Transporter-2,0,1.0,0
45,Transporter-1,0,1.0,0
45,Transporter-2,0,1.0,0
46,Transporter-1,0,1.0,0
46,Transporter-2,0,1.0,0
47,Transporter-1,0,1.0,0
47,Transporter-2,0,1.0,0
48,Transporter-1,0,1.0,0
48,Transporter-2,0,1.0,0
49,Transporter-1,0,1.0,0
49,Transporter-2,0,1.0,0
50,Transporter-1,0,1.0,0
50,Transporter-2,0,1.0,0
51,Transporter-1,0,1.0,0
51,Transporter-2,0,1.0,0
52,Transporter-1,0,1.0,0
52,Transporter-2,-1,1.0,1
53,Transporter-1,0,1.0,0
53,Transporter-2,-2,1.0,1
54,Transporter-1,0,1.0,0
54,Transporter-2,-3,1.0,1
55,Transporter-1,0,1.0,0
55,Transporter-2,-4,1.0,1
56,Transporter-1,0,1.0,0
56,Transporter-2,-5,1.0,1
57,Transporter-1,0,1.0,0
57,Transporter-2,-6,1.0,1
58,Transporter-1,0,1.0,0
58,Transporter-2,-7,1.0,1
59,Transporter-1,0,1.0,0
59,Transporter-2,-8,1.0,1
60,Transporter-1,0,1.0,0
60,Transporter-2,-9,1.0,1
61,Transporter-1,-1,1.0,1
61,Transporter-2,-10,1.0,1
62,Transporter-1,-2,1.0,1
62,Transporter-2,-11,1.0,1
63,Transporter-1,-3,1.0,1
63,Transporter-2,-12,1.0,1
64,Transporter-1,-4,1.0,1
64,Transporter-2,-13,1.0,1
65,Transporter-1,-5,1.0,1
65,Transporter-2,-14,1.0,1
66,Transporter-1,-6,1.0,1
66,Transporter-2,-15,1.0,1
67,Transporter-1,-7,1.0,1
67,Transporter-2,-16,1.0,1
68,Transporter-1,-8,1.0,1
68,Transporter-2,-17,1.0,1
69,Transporter-1,-9,1.0,1
69,Transporter-2,-18,1.0,1
70,Transporter-1,-10,1.0,1
70,Transporter-2,-19,1.0,1
71,Transporter-1,-11,1.0,1
71,Transporter-2,-20,1.0,1
72,Transporter-1,-12,1.0,1
72,Transporter-2,-21,1.0,1
73,Transporter-1,-13,1.0,1
73,Transporter-2,-22,1.0,1
74,Transporter-1,-14,1.0,1
74,Transporter-2,-23,1.0,1
75,Transporter-1,-15,1.0,1
75,Transporter-2,-24,1.0,1
76,Transporter-1,-16,1.0,1
76,Transporter-2,-25,1.0,1
77,Transporter-1,-17,1.0,1
77,Transporter-2,-26,1.0,1
78,Transporter-1,-18,1.0,1
78,Transporter-2,-27,1.0,1
79,Transporter-1,-19,1.0,1
79,Transporter-2,-28,1.0,1
80,Transporter-1,-20,1.0,1
80,Transporter-2,-29,1.0,1
81,Transporter-1,-21,1.0,1
81,Transporter-2,-30,1.0,1
82,Transporter-1,-22,1.0,1
82,Transporter-2,-31,1.0,1
83,Transporter-1,-23,1.0,1
83,Transporter-2,-32,1.0,1
84,Transporter-1,-24,1.0,1
84,Transporter-2,-33,1.0,1
85,Transporter-1,-25,1.0,1
85,Transporter-2,-34,1.0,1
86,Transporter-1,-26,1.0,1
86,Transporter-2,-35,1.0,1
87,Transporter-1,-27,1.0,1
87,Transporter-2,-36,1.0,1
88,Transporter-1,-28,1.0,1
88,Transporter-2,-37,1.0,1
89,Transporter-1,-29,1.0,1
89,Transporter-2,-38,1.0,1
90,Transporter-1,-30,1.0,1
90,Transporter-2,-39,1.0,1
91,Transporter-1,-31,1.0,1
91,Transporter-2,-40,1.0,1
92,Transporter-1,-32,1.0,1
92,Transporter-2,-41,1.0,1
93,Transporter-1,-33,1.0,1
93,Transporter-2,-42,1.0,1
94,Transporter-1,-34,1.0,1
94,Transporter-2,-43,1.0,1
95,Transporter-1,-35,1.0,1
95,Transporter-2,-44,1.0,1
96,Transporter-1,-36,1.0,1
96,Transporter-2,-45,1.0,1
97,Transporter-1,-37,1.0,1
97,Transporter-2,-46,1.0,1
98,Transporter-1,-38,1.0,1
98,Transporter-2,-47,1.0,1
99,Transporter-1,-39,1.0,1
99,Transporter-2,-48,1.0,1
100,Transporter-1,-40,1.0,1
100,Transporter-2,-49,1.0,1
101,Transporter-1,-41,1.0,1
101,Transporter-2,-50,1.0,1
102,Transporter-1,-42,1.0,1
102,Transporter-2,-51,1.0,1
103,Transporter-1,-43,1.0,1
103,Transporter-2,-52,1.0,1
104,Transporter-1,-44,1.0,1
104,Transporter-2,-53,1.0,1
105,Transporter-1,-45,1.0,1
105,Transporter-2,-54,1.0,1
106,Transporter-1,-46,1.0,1
106,Transporter-2,-55,1.0,1
107,Transporter-1,-47,1.0,1
107,Transporter-2,-56,1.0,1
108,Transporter-1,-48,1.0,1
108,Transporter-2,-57,1.0,1
109,Transporter-1,-49,1.0,1
109,Transporter-2,-58,1.0,1
110,Transporter-1,-50,1.0,1
110,Transporter-2,-59,1.0,1
111,Transporter-1,-51,1.0,1
111,Transporter-2,-60,1.0,1
112,Transporter-1,-52,1.0,1
112,Transporter-2,-61,1.0,1
113,Transporter-1,-53,1.0,1
113,Transporter-2,-62,1.0,1
114,Transporter-1,-54,1.0,1
114,Transporter-2,-63,1.0,1
115,Transporter-1,-55,1.0,1
115,Transporter-2,-64,1.0,1
